term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,note
(Intercept),0.19468658592233642,0.11215519490488912,-14.59017806978121,3.2434993446419385e-48,0.15569527346673812,0.24173741988537042,pre_warning,"Used terms: total_acb_codrugs_only, age_group, n_codrugs"
total_acb_codrugs_only,0.8935753198022441,0.05428854595689848,-2.0727143906285503,0.038198867704942255,0.7940942795564427,0.9821684472185545,pre_warning,"Used terms: total_acb_codrugs_only, age_group, n_codrugs"
age_group16-17,0.4663635461007607,0.17928877261190557,-4.254531926619848,2.0948676942622044e-5,0.32556241067606717,0.6584356514714874,pre_warning,"Used terms: total_acb_codrugs_only, age_group, n_codrugs"
age_group18-19,0.46006577625206807,0.18242098012819746,-4.2560116019737695,2.081059123249919e-5,0.31901951303481835,0.6532205979089507,pre_warning,"Used terms: total_acb_codrugs_only, age_group, n_codrugs"
n_codrugs,0.930491483280665,0.026729794834356325,-2.6952079591334814,0.007034471224185486,0.8805303731198408,0.977830314933581,pre_warning,"Used terms: total_acb_codrugs_only, age_group, n_codrugs"
