term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,note
(Intercept),0.18858795594190322,0.11082514481247399,-15.05245740011363,3.3264457364499866e-51,0.1512216585535572,0.23356871417974806,full,"Used terms: total_acb_codrugs_only, age_group, pre_post_warning, n_codrugs"
total_acb_codrugs_only,0.8992496347109222,0.05164713773138971,-2.056156590401135,0.03976742498136392,0.8039441468180618,0.9840977565936119,full,"Used terms: total_acb_codrugs_only, age_group, pre_post_warning, n_codrugs"
age_group16-17,0.473266451779343,0.17586798850692517,-4.253740162990838,2.1022923434425538e-5,0.3327315770764068,0.6639182757878838,full,"Used terms: total_acb_codrugs_only, age_group, pre_post_warning, n_codrugs"
age_group18-19,0.450009985726388,0.18129890670836882,-4.404248875285878,1.0615102509398567e-5,0.31268206718403996,0.6374342657475017,full,"Used terms: total_acb_codrugs_only, age_group, pre_post_warning, n_codrugs"
pre_post_warning,0.07334360922408026,0.4554961906018919,-5.735722842993238,9.709733233887738e-9,0.025983511381152364,0.16102653914618703,full,"Used terms: total_acb_codrugs_only, age_group, pre_post_warning, n_codrugs"
n_codrugs,0.9426459679596735,0.02482633963849372,-2.3791061970826752,0.017354675364031513,0.8955632447421162,0.9871417022609607,full,"Used terms: total_acb_codrugs_only, age_group, pre_post_warning, n_codrugs"
