variable,n,mean,sd,median,iqr
AGE,211,16.445497630331754,1.796985866267675,17,3
total_acb_with_dph,211,2.2606635071090047,2.9525320103171855,1,3
total_acb_codrugs_only,211,1.052132701421801,2.059156716305604,0,1
n_codrugs,211,3.8483412322274884,4.192480183916187,3,3
max_severity,211,2.227488151658768,1.3148973682933063,2,3
