variable,n,shapiro_W,p_value,non_normal_p_lt_0_05
AGE,211,0.9202398815099975,2.924063144508141e-09,True
total_acb_with_dph,211,0.7655749392043243,4.8531695134548553e-17,True
total_acb_codrugs_only,211,0.5759077873346046,1.9069301986952805e-22,True
n_codrugs,211,0.7681679743408223,6.022571159879581e-17,True
max_severity,211,0.8575748413978692,4.07327889669192e-13,True
