term,coef,OR,CI_low,CI_high,p_value
Intercept,-0.20338924556646765,0.8159605705691282,0.1354520656913148,4.915330374073341,0.8243227733956607
C(age_group)[T.16-17],-19.535141194595877,3.2809225311617075e-09,0.0,inf,0.9978213410616115
C(age_group)[T.18-19],-2.2616781507038026,0.10417551576855749,0.01722416638587806,0.6300762453469371,0.01377821136217845
total_acb_codrugs_only,-0.0892693909345707,0.9145991556632649,0.4295979140765068,1.9471500864666367,0.8168903948268458
n_codrugs,-0.22209783954488593,0.8008370069732074,0.4470660859773881,1.4345528141229726,0.4552299156961007
