term,coef,OR,CI_low,CI_high,p_value
Intercept,-0.2384690963868932,0.7878330347682408,,,
C(age_group)[T.16-17],-4.046534855795281,0.017482850398108082,,,
C(age_group)[T.18-19],-2.1866020579361702,0.11229768207348813,,,
total_acb_codrugs_only,-0.08636053205898866,0.91726346871148,,,
n_codrugs,-0.21695819842562566,0.8049636173482452,,,
pre_post_warning,0.0,1.0,,,
