variable,W,p_value
AGE,0.9202398810507753,2.924062912134504e-9
total_acb_with_dph,0.7655749391062777,4.8531694738745477e-17
total_acb_codrugs_only,0.5759077875710537,1.9069302227002302e-22
n_codrugs,0.7681679744257424,6.022571202473851e-17
max_severity,0.8575748409471393,4.0732786796477384e-13
